文件名,文件路径,CRS,尺寸,分辨率,波段数,数据类型,nodata,有效像元数_band1,总像元数_band1,有效像元比例_band1,最小值_band1,P1_band1,中位数_band1,P99_band1,最大值_band1,状态,异常说明
terraclimate_2010_epsg4326_250m.tif,data/processed/aligned/terraclimate_2010_epsg4326_250m.tif,EPSG:4326,2005x988,0.00224578821;0.00224578821,11,float32;float32;float32;float32;float32;float32;float32;float32;float32;float32;float32,-9999.0,1593203,1980940,0.804266,558.211181640625,566.978037109375,649.7882080078125,749.594306640625,771.7630004882812,通过,
terraclimate_2015_epsg4326_250m.tif,data/processed/aligned/terraclimate_2015_epsg4326_250m.tif,EPSG:4326,2005x988,0.00224578821;0.00224578821,11,float32;float32;float32;float32;float32;float32;float32;float32;float32;float32;float32,-9999.0,1593203,1980940,0.804266,594.115234375,603.8706433105468,662.5653991699219,735.4783135986326,781.9309692382812,通过,
terraclimate_2020_epsg4326_250m.tif,data/processed/aligned/terraclimate_2020_epsg4326_250m.tif,EPSG:4326,2005x988,0.00224578821;0.00224578821,11,float32;float32;float32;float32;float32;float32;float32;float32;float32;float32;float32,-9999.0,1593203,1980940,0.804266,398.14532470703125,408.9503381347656,514.1448364257812,707.1936096191405,747.6576538085938,通过,
terraclimate_2024_epsg4326_250m.tif,data/processed/aligned/terraclimate_2024_epsg4326_250m.tif,EPSG:4326,2005x988,0.00224578821;0.00224578821,11,float32;float32;float32;float32;float32;float32;float32;float32;float32;float32;float32,-9999.0,1593203,1980940,0.804266,448.3295593261719,460.2615966796875,582.4720458984375,759.9742913818359,795.89794921875,通过,
water_class_2000_2000_epsg4326_250m.tif,data/processed/aligned/water_class_2000_2000_epsg4326_250m.tif,EPSG:4326,2005x988,0.00224578821;0.00224578821,1,uint8,0.0,23647,1980940,0.011937,1.0,1.0,1.0,3.0,3.0,通过,
water_class_2005_2005_epsg4326_250m.tif,data/processed/aligned/water_class_2005_2005_epsg4326_250m.tif,EPSG:4326,2005x988,0.00224578821;0.00224578821,1,uint8,0.0,23072,1980940,0.011647,1.0,1.0,2.0,3.0,3.0,通过,
water_class_2010_2010_epsg4326_250m.tif,data/processed/aligned/water_class_2010_2010_epsg4326_250m.tif,EPSG:4326,2005x988,0.00224578821;0.00224578821,1,uint8,0.0,22714,1980940,0.011466,1.0,1.0,2.0,3.0,3.0,通过,
water_class_2015_2015_epsg4326_250m.tif,data/processed/aligned/water_class_2015_2015_epsg4326_250m.tif,EPSG:4326,2005x988,0.00224578821;0.00224578821,1,uint8,0.0,24632,1980940,0.012435,1.0,1.0,1.0,3.0,3.0,通过,
water_class_2020_2020_epsg4326_250m.tif,data/processed/aligned/water_class_2020_2020_epsg4326_250m.tif,EPSG:4326,2005x988,0.00224578821;0.00224578821,1,uint8,0.0,25529,1980940,0.012887,1.0,1.0,2.0,3.0,3.0,通过,
water_class_2025_2021_epsg4326_250m.tif,data/processed/aligned/water_class_2025_2021_epsg4326_250m.tif,EPSG:4326,2005x988,0.00224578821;0.00224578821,1,uint8,0.0,26177,1980940,0.013214,1.0,1.0,2.0,3.0,3.0,通过,
water_frequency_2000_2021_epsg4326_250m.tif,data/processed/aligned/water_frequency_2000_2021_epsg4326_250m.tif,EPSG:4326,2005x988,0.00224578821;0.00224578821,1,float32,-9999.0,1536390,1980940,0.775586,0.0,7.834598646163941,76.1950454711914,100.0,100.0,通过,
